Total unconfirmed Successful unconfirmed | Successfully extracted confirmed packets Successfully ACKed confirmed packets | Incomplete Confirmed | Successful with 1 Successful with 2 Successful with 3 Successful with 4 Successful with 5 Successful with 6 Successful with 7 Successful with 8 | Failed after 1 Failed after 2 Failed after 3 Failed after 4 Failed after 5 Failed after 6 Failed after 7 Failed after 8 | Average Delay Average ACK Delay | Total Retransmission amounts || PHY Total PHY Successful PHY Interfered PHY No More Receivers PHY Under Sensitivity PHY Lost Because TX ** CPSR confirmed sent CPSR confirmed ACKed
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
50 50 | 0 0 | 0 | 0 0 0 0 0 0 0 0  | 0 0 0 0 0 0 0 0  | 0.000000 0.000000  | 0 || 50 50 0 0 0 0  ** 0.000000 0.000000
